Week,Raw_Attendance,Final_Attendance,Average_Epsilon
201,31,31,0.49225
202,37,37,0.4706575
203,47,47,0.449339837
204,55,55,0.421886202
205,58,58,0.39311883
206,66,47,0.366675262
207,66,47,0.338641813
208,70,49,0.312331857
209,64,45,0.288223542
210,70,49,0.26757909
211,64,45,0.246308484
212,74,52,0.227906688
213,75,53,0.210023
214,76,54,0.193148633
215,75,53,0.177541077
216,74,52,0.163244497
217,77,54,0.150711788
218,77,54,0.141193871
219,76,54,0.133943463
220,75,53,0.128360308
221,81,57,0.123739881
222,81,57,0.119837468
223,76,54,0.116728964
224,81,57,0.114103867
225,80,56,0.112012944
226,76,54,0.110051672
227,80,56,0.10825719
228,78,55,0.10666534
229,81,57,0.105159066
230,79,56,0.103819969
231,82,58,0.102691856
232,84,59,0.101657263
233,79,56,0.100863055
234,81,57,0.100440001
235,82,58,0.100262328
236,82,58,0.100149212
237,80,56,0.100073194
238,84,59,0.100019534
239,80,56,0.1
240,81,57,0.1
241,82,58,0.1
242,77,54,0.1
243,83,59,0.1
244,79,56,0.1
245,79,56,0.1
246,79,56,0.1
247,76,54,0.1
248,77,54,0.1
249,80,56,0.1
250,82,58,0.1
251,80,56,0.1
252,84,59,0.1
253,83,59,0.1
254,80,56,0.1
255,79,56,0.1
256,83,59,0.1
257,79,56,0.1
258,81,57,0.1
259,77,54,0.1
260,79,56,0.1
261,78,55,0.1
262,78,55,0.1
263,73,52,0.1
264,82,58,0.1
265,83,59,0.1
266,82,58,0.1
267,79,56,0.1
268,84,59,0.1
269,78,55,0.1
270,81,57,0.1
271,77,54,0.1
272,77,54,0.1
273,82,58,0.1
274,80,56,0.1
275,82,58,0.1
276,79,56,0.1
277,82,58,0.1
278,78,55,0.1
279,80,56,0.1
280,80,56,0.1
281,79,56,0.1
282,76,54,0.1
283,80,56,0.1
284,79,56,0.1
285,82,58,0.1
286,83,59,0.1
287,80,56,0.1
288,81,57,0.1
289,82,58,0.1
290,80,56,0.1
291,82,58,0.1
292,77,54,0.1
293,78,55,0.1
294,82,58,0.1
295,81,57,0.1
296,79,56,0.1
297,78,55,0.1
298,80,56,0.1
299,79,56,0.1
300,80,56,0.1
