Week,Attendance
1,60
2,51
3,62
4,64
5,71
6,64
7,67
8,58
9,60
10,69
11,57
12,56
13,75
14,55
15,75
16,64
17,63
18,75
19,60
20,78
21,74
22,57
23,55
24,64
25,70
26,55
27,68
28,54
29,76
30,73
31,66
32,69
33,73
34,51
35,75
36,63
37,60
38,70
39,56
40,52
41,79
42,79
43,52
44,77
45,51
46,70
47,69
48,70
49,76
50,55
51,73
52,69
53,70
54,73
55,55
56,65
57,78
58,59
59,70
60,75
61,70
62,68
63,68
64,53
65,52
66,73
67,76
68,79
69,67
70,51
71,56
72,80
73,68
74,53
75,79
76,64
77,50
78,65
79,80
80,64
81,65
82,67
83,62
84,55
85,79
86,67
87,65
88,54
89,66
90,62
91,67
92,53
93,63
94,52
95,66
96,79
97,79
98,54
99,65
100,61
101,63
102,64
103,63
104,65
105,75
106,57
107,80
108,57
109,55
110,53
111,66
112,72
113,61
114,78
115,71
116,52
117,53
118,63
119,56
120,79
121,53
122,72
123,73
124,62
125,71
126,56
127,64
128,64
129,72
130,61
131,62
132,68
133,67
134,69
135,76
136,78
137,70
138,67
139,71
140,71
141,50
142,74
143,80
144,50
145,54
146,58
147,57
148,73
149,61
150,80
151,80
152,79
153,57
154,75
155,58
156,72
157,73
158,68
159,61
160,61
161,64
162,62
163,54
164,72
165,66
166,72
167,78
168,63
169,53
170,59
171,66
172,56
173,71
174,65
175,59
176,74
177,54
178,72
179,60
180,52
181,60
182,72
183,80
184,72
185,57
186,56
187,66
188,67
189,57
190,61
191,69
192,69
193,52
194,73
195,68
196,70
197,70
198,73
199,77
200,54
201,53
202,31
203,37
204,47
205,55
206,58
207,47
208,47
209,49
210,45
211,49
212,45
213,52
214,53
215,54
216,53
217,52
218,54
219,54
220,54
221,53
222,57
223,57
224,54
225,57
226,56
227,54
228,56
229,55
230,57
231,56
232,58
233,59
234,56
235,57
236,58
237,58
238,56
239,59
240,56
241,57
242,58
243,54
244,59
245,56
246,56
247,56
248,54
249,54
250,56
251,58
252,56
253,59
254,59
255,56
256,56
257,59
258,56
259,57
260,54
261,56
262,55
263,55
264,52
265,58
266,59
267,58
268,56
269,59
270,55
271,57
272,54
273,54
274,58
275,56
276,58
277,56
278,58
279,55
280,56
281,56
282,56
283,54
284,56
285,56
286,58
287,59
288,56
289,57
290,58
291,56
292,58
293,54
294,55
295,58
296,57
297,56
298,55
299,56
300,56
301,56
